# Sondages 1er tour présidentielle 2027 — https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027
# Relevé le 2026-09-17 par src/scrape_pres_2027.py ; une ligne par candidat·e et hypothèse.
# bloc : nomenclature du modèle (G gauche, CD centre+droite, ED extrême droite, AU hors axe).
institut,date_fin,echantillon,hypothese,candidat,parti,bloc,valeur
Ifop,2026-08-25,1598,46,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-08-25,1598,46,LE PEN,RN,ED,35.0
Ifop,2026-08-25,1598,46,ZEMMOUR,REC,ED,3.0
Harris,2026-08-19,1,48,ARTHAUD,LO,G,1.0
Harris,2026-08-19,1,48,MÉLENCHON,LFI,G,17.0
Harris,2026-08-19,1,48,ROUSSEL,PCF,G,3.0
Harris,2026-08-19,1,48,TONDELIER,LE,G,4.0
Harris,2026-08-19,1,48,HOLLANDE,PS,G,8.0
Harris,2026-08-19,1,48,ATTAL,RE,CD,14.0
Harris,2026-08-19,1,48,RETAILLEAU,LR,CD,9.0
Harris,2026-08-19,1,48,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-08-19,1,48,LE PEN,RN,ED,38.0
Harris,2026-08-19,1,48,ZEMMOUR,REC,ED,4.0
Harris,2026-08-19,1,49,ARTHAUD,LO,G,1.0
Harris,2026-08-19,1,49,MÉLENCHON,LFI,G,17.0
Harris,2026-08-19,1,49,ROUSSEL,PCF,G,3.0
Harris,2026-08-19,1,49,TONDELIER,LE,G,4.0
Harris,2026-08-19,1,49,HOLLANDE,PS,G,8.0
Harris,2026-08-19,1,49,PHILIPPE,HOR,CD,19.0
Harris,2026-08-19,1,49,RETAILLEAU,LR,CD,7.0
Harris,2026-08-19,1,49,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-08-19,1,49,LE PEN,RN,ED,35.0
Harris,2026-08-19,1,49,ZEMMOUR,REC,ED,4.0
Harris,2026-08-19,1,50,ARTHAUD,LO,G,1.0
Harris,2026-08-19,1,50,MÉLENCHON,LFI,G,17.0
Harris,2026-08-19,1,50,ROUSSEL,PCF,G,2.0
Harris,2026-08-19,1,50,TONDELIER,LE,G,3.0
Harris,2026-08-19,1,50,GLUCKSMANN,PP,G,11.0
Harris,2026-08-19,1,50,ATTAL,RE,CD,15.0
Harris,2026-08-19,1,50,RETAILLEAU,LR,CD,9.0
Harris,2026-08-19,1,50,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-08-19,1,50,LE PEN,RN,ED,37.0
Harris,2026-08-19,1,50,ZEMMOUR,REC,ED,3.0
Harris,2026-08-19,1,51,ARTHAUD,LO,G,1.0
Harris,2026-08-19,1,51,MÉLENCHON,LFI,G,17.0
Harris,2026-08-19,1,51,ROUSSEL,PCF,G,3.0
Harris,2026-08-19,1,51,TONDELIER,LE,G,3.0
Harris,2026-08-19,1,51,GLUCKSMANN,PP,G,10.0
Harris,2026-08-19,1,51,PHILIPPE,HOR,CD,17.0
Harris,2026-08-19,1,51,RETAILLEAU,LR,CD,7.0
Harris,2026-08-19,1,51,DUPONT-AIGNAN,DLF,ED,3.0
Harris,2026-08-19,1,51,LE PEN,RN,ED,35.0
Harris,2026-08-19,1,51,ZEMMOUR,REC,ED,4.0
Harris,2026-08-19,1,52,ARTHAUD,LO,G,1.0
Harris,2026-08-19,1,52,MÉLENCHON,LFI,G,16.0
Harris,2026-08-19,1,52,ROUSSEL,PCF,G,2.0
Harris,2026-08-19,1,52,TONDELIER,LE,G,3.0
Harris,2026-08-19,1,52,GLUCKSMANN,PP,G,10.0
Harris,2026-08-19,1,52,ATTAL,RE,CD,8.0
Harris,2026-08-19,1,52,PHILIPPE,HOR,CD,14.0
Harris,2026-08-19,1,52,RETAILLEAU,LR,CD,6.0
Harris,2026-08-19,1,52,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-08-19,1,52,LE PEN,RN,ED,35.0
Harris,2026-08-19,1,52,ZEMMOUR,REC,ED,3.0
Cluster17,2026-07-24,1506,53,ARTHAUD,LO,G,1.0
Cluster17,2026-07-24,1506,53,MÉLENCHON,LFI,G,18.0
Cluster17,2026-07-24,1506,53,ROUSSEL,PCF,G,2.0
Cluster17,2026-07-24,1506,53,TONDELIER,LE,G,3.0
Cluster17,2026-07-24,1506,53,GLUCKSMANN,PP,G,10.0
Cluster17,2026-07-24,1506,53,PHILIPPE,HOR,CD,18.0
Cluster17,2026-07-24,1506,53,VILLEPIN,LFH,CD,3.0
Cluster17,2026-07-24,1506,53,RETAILLEAU,LR,CD,8.0
Cluster17,2026-07-24,1506,53,DUPONT-AIGNAN,DLF,ED,3.0
Cluster17,2026-07-24,1506,53,LE PEN,RN,ED,30.0
Cluster17,2026-07-24,1506,53,ZEMMOUR,REC,ED,4.0
Cluster17,2026-07-24,1506,54,ARTHAUD,LO,G,1.0
Cluster17,2026-07-24,1506,54,MÉLENCHON,LFI,G,18.0
Cluster17,2026-07-24,1506,54,ROUSSEL,PCF,G,2.0
Cluster17,2026-07-24,1506,54,TONDELIER,LE,G,3.0
Cluster17,2026-07-24,1506,54,GLUCKSMANN,PP,G,10.0
Cluster17,2026-07-24,1506,54,ATTAL,RE,CD,14.0
Cluster17,2026-07-24,1506,54,VILLEPIN,LFH,CD,4.0
Cluster17,2026-07-24,1506,54,RETAILLEAU,LR,CD,10.0
Cluster17,2026-07-24,1506,54,DUPONT-AIGNAN,DLF,ED,4.0
Cluster17,2026-07-24,1506,54,LE PEN,RN,ED,30.0
Cluster17,2026-07-24,1506,54,ZEMMOUR,REC,ED,4.0
Elabe,2026-07-10,1503,55,ARTHAUD,LO,G,1.0
Elabe,2026-07-10,1503,55,MÉLENCHON,LFI,G,16.0
Elabe,2026-07-10,1503,55,ROUSSEL,PCF,G,2.5
Elabe,2026-07-10,1503,55,TONDELIER,LE,G,3.5
Elabe,2026-07-10,1503,55,GLUCKSMANN,PP,G,10.5
Elabe,2026-07-10,1503,55,PHILIPPE,HOR,CD,16.5
Elabe,2026-07-10,1503,55,VILLEPIN,LFH,CD,2.5
Elabe,2026-07-10,1503,55,RETAILLEAU,LR,CD,8.0
Elabe,2026-07-10,1503,55,DUPONT-AIGNAN,DLF,ED,1.5
Elabe,2026-07-10,1503,55,LE PEN,RN,ED,35.0
Elabe,2026-07-10,1503,55,ZEMMOUR,REC,ED,3.0
Elabe,2026-07-10,1503,56,ARTHAUD,LO,G,1.5
Elabe,2026-07-10,1503,56,MÉLENCHON,LFI,G,14.5
Elabe,2026-07-10,1503,56,ROUSSEL,PCF,G,2.5
Elabe,2026-07-10,1503,56,TONDELIER,LE,G,3.5
Elabe,2026-07-10,1503,56,GLUCKSMANN,PP,G,11.0
Elabe,2026-07-10,1503,56,ATTAL,RE,CD,13.5
Elabe,2026-07-10,1503,56,VILLEPIN,LFH,CD,3.5
Elabe,2026-07-10,1503,56,RETAILLEAU,LR,CD,11.0
Elabe,2026-07-10,1503,56,DUPONT-AIGNAN,DLF,ED,1.5
Elabe,2026-07-10,1503,56,LE PEN,RN,ED,34.0
Elabe,2026-07-10,1503,56,ZEMMOUR,REC,ED,3.5
Elabe,2026-07-10,1503,57,ARTHAUD,LO,G,1.5
Elabe,2026-07-10,1503,57,MÉLENCHON,LFI,G,14.5
Elabe,2026-07-10,1503,57,ROUSSEL,PCF,G,2.0
Elabe,2026-07-10,1503,57,HOLLANDE,PS,G,9.0
Elabe,2026-07-10,1503,57,PHILIPPE,HOR,CD,19.0
Elabe,2026-07-10,1503,57,RETAILLEAU,LR,CD,9.0
Elabe,2026-07-10,1503,57,DUPONT-AIGNAN,DLF,ED,1.5
Elabe,2026-07-10,1503,57,LE PEN,RN,ED,35.0
Elabe,2026-07-10,1503,57,ZEMMOUR,REC,ED,2.5
Elabe,2026-07-10,1503,58,ARTHAUD,LO,G,1.5
Elabe,2026-07-10,1503,58,MÉLENCHON,LFI,G,15.0
Elabe,2026-07-10,1503,58,ROUSSEL,PCF,G,2.5
Elabe,2026-07-10,1503,58,HOLLANDE,PS,G,8.0
Elabe,2026-07-10,1503,58,ATTAL,RE,CD,15.5
Elabe,2026-07-10,1503,58,RETAILLEAU,LR,CD,11.0
Elabe,2026-07-10,1503,58,DUPONT-AIGNAN,DLF,ED,1.5
Elabe,2026-07-10,1503,58,LE PEN,RN,ED,35.5
Elabe,2026-07-10,1503,58,ZEMMOUR,REC,ED,3.5
Elabe,2026-07-10,1503,59,ARTHAUD,LO,G,1.0
Elabe,2026-07-10,1503,59,MÉLENCHON,LFI,G,14.5
Elabe,2026-07-10,1503,59,ROUSSEL,PCF,G,2.5
Elabe,2026-07-10,1503,59,TONDELIER,LE,G,4.0
Elabe,2026-07-10,1503,59,GLUCKSMANN,PP,G,8.5
Elabe,2026-07-10,1503,59,ATTAL,RE,CD,7.5
Elabe,2026-07-10,1503,59,PHILIPPE,HOR,CD,14.0
Elabe,2026-07-10,1503,59,RETAILLEAU,LR,CD,8.5
Elabe,2026-07-10,1503,59,DUPONT-AIGNAN,DLF,ED,1.5
Elabe,2026-07-10,1503,59,LE PEN,RN,ED,35.0
Elabe,2026-07-10,1503,59,ZEMMOUR,REC,ED,3.0
Elabe,2026-07-10,1503,60,ARTHAUD,LO,G,2.0
Elabe,2026-07-10,1503,60,MÉLENCHON,LFI,G,15.0
Elabe,2026-07-10,1503,60,ROUSSEL,PCF,G,3.0
Elabe,2026-07-10,1503,60,TONDELIER,LE,G,4.0
Elabe,2026-07-10,1503,60,HOLLANDE,PS,G,8.0
Elabe,2026-07-10,1503,60,PHILIPPE,HOR,CD,18.0
Elabe,2026-07-10,1503,60,VILLEPIN,LFH,CD,3.0
Elabe,2026-07-10,1503,60,RETAILLEAU,LR,CD,8.0
Elabe,2026-07-10,1503,60,DUPONT-AIGNAN,DLF,ED,1.5
Elabe,2026-07-10,1503,60,LE PEN,RN,ED,34.5
Elabe,2026-07-10,1503,60,ZEMMOUR,REC,ED,3.0
Verian,2026-07-10,1,61,MÉLENCHON,LFI,G,15.0
Verian,2026-07-10,1,61,ROUSSEL,PCF,G,2.0
Verian,2026-07-10,1,61,GLUCKSMANN,PP,G,11.0
Verian,2026-07-10,1,61,ATTAL,RE,CD,8.0
Verian,2026-07-10,1,61,PHILIPPE,HOR,CD,17.0
Verian,2026-07-10,1,61,RETAILLEAU,LR,CD,7.0
Verian,2026-07-10,1,61,LE PEN,RN,ED,37.0
Verian,2026-07-10,1,61,ZEMMOUR,REC,ED,3.0
OpinionWay,2026-07-09,963,62,ARTHAUD,LO,G,0.5
OpinionWay,2026-07-09,963,62,MÉLENCHON,LFI,G,13.0
OpinionWay,2026-07-09,963,62,ROUSSEL,PCF,G,2.0
OpinionWay,2026-07-09,963,62,TONDELIER,LE,G,5.0
OpinionWay,2026-07-09,963,62,GLUCKSMANN,PP,G,9.0
OpinionWay,2026-07-09,963,62,ATTAL,RE,CD,7.0
OpinionWay,2026-07-09,963,62,PHILIPPE,HOR,CD,18.0
OpinionWay,2026-07-09,963,62,RETAILLEAU,LR,CD,8.0
OpinionWay,2026-07-09,963,62,LE PEN,RN,ED,35.0
OpinionWay,2026-07-09,963,62,ZEMMOUR,REC,ED,3.0
OpinionWay,2026-07-09,963,63,ARTHAUD,LO,G,1.0
OpinionWay,2026-07-09,963,63,MÉLENCHON,LFI,G,15.0
OpinionWay,2026-07-09,963,63,ROUSSEL,PCF,G,2.0
OpinionWay,2026-07-09,963,63,TONDELIER,LE,G,5.0
OpinionWay,2026-07-09,963,63,GLUCKSMANN,PP,G,10.0
OpinionWay,2026-07-09,963,63,ATTAL,RE,CD,16.0
OpinionWay,2026-07-09,963,63,RETAILLEAU,LR,CD,12.0
OpinionWay,2026-07-09,963,63,LE PEN,RN,ED,36.0
OpinionWay,2026-07-09,963,63,ZEMMOUR,REC,ED,3.0
OpinionWay,2026-07-09,963,64,ARTHAUD,LO,G,1.0
OpinionWay,2026-07-09,963,64,MÉLENCHON,LFI,G,15.0
OpinionWay,2026-07-09,963,64,ROUSSEL,PCF,G,2.0
OpinionWay,2026-07-09,963,64,TONDELIER,LE,G,4.0
OpinionWay,2026-07-09,963,64,GLUCKSMANN,PP,G,9.0
OpinionWay,2026-07-09,963,64,PHILIPPE,HOR,CD,22.0
OpinionWay,2026-07-09,963,64,RETAILLEAU,LR,CD,9.0
OpinionWay,2026-07-09,963,64,LE PEN,RN,ED,34.0
OpinionWay,2026-07-09,963,64,ZEMMOUR,REC,ED,4.0
Harris,2026-07-08,1592,67,ARTHAUD,LO,G,1.0
Harris,2026-07-08,1592,67,MÉLENCHON,LFI,G,16.0
Harris,2026-07-08,1592,67,ROUSSEL,PCF,G,3.0
Harris,2026-07-08,1592,67,TONDELIER,LE,G,5.0
Harris,2026-07-08,1592,67,HOLLANDE,PS,G,8.0
Harris,2026-07-08,1592,67,ATTAL,RE,CD,16.0
Harris,2026-07-08,1592,67,RETAILLEAU,LR,CD,8.0
Harris,2026-07-08,1592,67,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-07-08,1592,67,LE PEN,RN,ED,36.0
Harris,2026-07-08,1592,67,ZEMMOUR,REC,ED,5.0
Harris,2026-07-08,1592,68,ARTHAUD,LO,G,1.0
Harris,2026-07-08,1592,68,MÉLENCHON,LFI,G,16.0
Harris,2026-07-08,1592,68,ROUSSEL,PCF,G,3.0
Harris,2026-07-08,1592,68,TONDELIER,LE,G,4.0
Harris,2026-07-08,1592,68,HOLLANDE,PS,G,8.0
Harris,2026-07-08,1592,68,PHILIPPE,HOR,CD,20.0
Harris,2026-07-08,1592,68,RETAILLEAU,LR,CD,8.0
Harris,2026-07-08,1592,68,DUPONT-AIGNAN,DLF,ED,1.0
Harris,2026-07-08,1592,68,LE PEN,RN,ED,35.0
Harris,2026-07-08,1592,68,ZEMMOUR,REC,ED,4.0
Harris,2026-07-08,1592,69,ARTHAUD,LO,G,1.0
Harris,2026-07-08,1592,69,MÉLENCHON,LFI,G,16.0
Harris,2026-07-08,1592,69,ROUSSEL,PCF,G,3.0
Harris,2026-07-08,1592,69,TONDELIER,LE,G,3.0
Harris,2026-07-08,1592,69,GLUCKSMANN,PP,G,11.0
Harris,2026-07-08,1592,69,ATTAL,RE,CD,16.0
Harris,2026-07-08,1592,69,RETAILLEAU,LR,CD,9.0
Harris,2026-07-08,1592,69,DUPONT-AIGNAN,DLF,ED,1.0
Harris,2026-07-08,1592,69,LE PEN,RN,ED,36.0
Harris,2026-07-08,1592,69,ZEMMOUR,REC,ED,4.0
Harris,2026-07-08,1592,70,ARTHAUD,LO,G,1.0
Harris,2026-07-08,1592,70,MÉLENCHON,LFI,G,16.0
Harris,2026-07-08,1592,70,ROUSSEL,PCF,G,2.0
Harris,2026-07-08,1592,70,TONDELIER,LE,G,3.0
Harris,2026-07-08,1592,70,GLUCKSMANN,PP,G,11.0
Harris,2026-07-08,1592,70,PHILIPPE,HOR,CD,20.0
Harris,2026-07-08,1592,70,RETAILLEAU,LR,CD,8.0
Harris,2026-07-08,1592,70,DUPONT-AIGNAN,DLF,ED,1.0
Harris,2026-07-08,1592,70,LE PEN,RN,ED,34.0
Harris,2026-07-08,1592,70,ZEMMOUR,REC,ED,4.0
Harris,2026-07-08,1592,71,ARTHAUD,LO,G,1.0
Harris,2026-07-08,1592,71,MÉLENCHON,LFI,G,16.0
Harris,2026-07-08,1592,71,ROUSSEL,PCF,G,2.0
Harris,2026-07-08,1592,71,TONDELIER,LE,G,2.0
Harris,2026-07-08,1592,71,GLUCKSMANN,PP,G,10.0
Harris,2026-07-08,1592,71,ATTAL,RE,CD,8.0
Harris,2026-07-08,1592,71,PHILIPPE,HOR,CD,14.0
Harris,2026-07-08,1592,71,RETAILLEAU,LR,CD,7.0
Harris,2026-07-08,1592,71,DUPONT-AIGNAN,DLF,ED,1.0
Harris,2026-07-08,1592,71,LE PEN,RN,ED,35.0
Harris,2026-07-08,1592,71,ZEMMOUR,REC,ED,4.0
Ifop,2026-07-08,984,65,ARTHAUD,LO,G,0.5
Ifop,2026-07-08,984,65,MÉLENCHON,LFI,G,15.0
Ifop,2026-07-08,984,65,ROUSSEL,PCF,G,2.0
Ifop,2026-07-08,984,65,TONDELIER,LE,G,4.0
Ifop,2026-07-08,984,65,GLUCKSMANN,PP,G,12.0
Ifop,2026-07-08,984,65,ATTAL,RE,CD,15.0
Ifop,2026-07-08,984,65,RETAILLEAU,LR,CD,10.0
Ifop,2026-07-08,984,65,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-07-08,984,65,LE PEN,RN,ED,36.0
Ifop,2026-07-08,984,65,ZEMMOUR,REC,ED,3.5
Ifop,2026-07-08,984,66,ARTHAUD,LO,G,0.5
Ifop,2026-07-08,984,66,MÉLENCHON,LFI,G,15.0
Ifop,2026-07-08,984,66,ROUSSEL,PCF,G,3.0
Ifop,2026-07-08,984,66,TONDELIER,LE,G,3.5
Ifop,2026-07-08,984,66,GLUCKSMANN,PP,G,9.0
Ifop,2026-07-08,984,66,PHILIPPE,HOR,CD,19.0
Ifop,2026-07-08,984,66,RETAILLEAU,LR,CD,8.0
Ifop,2026-07-08,984,66,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-07-08,984,66,LE PEN,RN,ED,36.0
Ifop,2026-07-08,984,66,ZEMMOUR,REC,ED,4.0
Ifop,2026-06-24,1415,1,ARTHAUD,LO,G,0.5
Ifop,2026-06-24,1415,1,MÉLENCHON,LFI,G,13.0
Ifop,2026-06-24,1415,1,ROUSSEL,PCF,G,3.0
Ifop,2026-06-24,1415,1,TONDELIER,LE,G,2.5
Ifop,2026-06-24,1415,1,GLUCKSMANN,PP,G,9.0
Ifop,2026-06-24,1415,1,ATTAL,RE,CD,8.0
Ifop,2026-06-24,1415,1,PHILIPPE,HOR,CD,14.0
Ifop,2026-06-24,1415,1,RETAILLEAU,LR,CD,8.0
Ifop,2026-06-24,1415,1,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-06-24,1415,1,BARDELLA,RN,ED,36.0
Ifop,2026-06-24,1415,1,ZEMMOUR,REC,ED,4.0
Ifop,2026-06-24,1415,2,ARTHAUD,LO,G,0.5
Ifop,2026-06-24,1415,2,MÉLENCHON,LFI,G,13.0
Ifop,2026-06-24,1415,2,ROUSSEL,PCF,G,3.0
Ifop,2026-06-24,1415,2,TONDELIER,LE,G,3.5
Ifop,2026-06-24,1415,2,GLUCKSMANN,PP,G,10.0
Ifop,2026-06-24,1415,2,PHILIPPE,HOR,CD,19.0
Ifop,2026-06-24,1415,2,RETAILLEAU,LR,CD,9.0
Ifop,2026-06-24,1415,2,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-06-24,1415,2,BARDELLA,RN,ED,36.0
Ifop,2026-06-24,1415,2,ZEMMOUR,REC,ED,4.0
Ifop,2026-06-24,1415,3,ARTHAUD,LO,G,0.5
Ifop,2026-06-24,1415,3,MÉLENCHON,LFI,G,13.0
Ifop,2026-06-24,1415,3,ROUSSEL,PCF,G,2.5
Ifop,2026-06-24,1415,3,TONDELIER,LE,G,3.5
Ifop,2026-06-24,1415,3,GLUCKSMANN,PP,G,11.0
Ifop,2026-06-24,1415,3,ATTAL,RE,CD,15.0
Ifop,2026-06-24,1415,3,RETAILLEAU,LR,CD,11.0
Ifop,2026-06-24,1415,3,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-06-24,1415,3,BARDELLA,RN,ED,37.0
Ifop,2026-06-24,1415,3,ZEMMOUR,REC,ED,4.5
Ifop,2026-06-24,1415,4,ARTHAUD,LO,G,1.0
Ifop,2026-06-24,1415,4,MÉLENCHON,LFI,G,12.0
Ifop,2026-06-24,1415,4,ROUSSEL,PCF,G,3.0
Ifop,2026-06-24,1415,4,TONDELIER,LE,G,4.0
Ifop,2026-06-24,1415,4,GLUCKSMANN,PP,G,9.0
Ifop,2026-06-24,1415,4,PHILIPPE,HOR,CD,20.0
Ifop,2026-06-24,1415,4,RETAILLEAU,LR,CD,11.0
Ifop,2026-06-24,1415,4,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-06-24,1415,4,LE PEN,RN,ED,32.0
Ifop,2026-06-24,1415,4,ZEMMOUR,REC,ED,6.0
Ifop,2026-06-24,1415,5,ARTHAUD,LO,G,1.0
Ifop,2026-06-24,1415,5,MÉLENCHON,LFI,G,13.0
Ifop,2026-06-24,1415,5,ROUSSEL,PCF,G,3.0
Ifop,2026-06-24,1415,5,TONDELIER,LE,G,3.0
Ifop,2026-06-24,1415,5,GLUCKSMANN,PP,G,11.0
Ifop,2026-06-24,1415,5,ATTAL,RE,CD,15.0
Ifop,2026-06-24,1415,5,RETAILLEAU,LR,CD,14.0
Ifop,2026-06-24,1415,5,DUPONT-AIGNAN,DLF,ED,3.0
Ifop,2026-06-24,1415,5,LE PEN,RN,ED,32.0
Ifop,2026-06-24,1415,5,ZEMMOUR,REC,ED,5.0
Ifop,2026-06-24,1415,6,ARTHAUD,LO,G,1.5
Ifop,2026-06-24,1415,6,MÉLENCHON,LFI,G,15.0
Ifop,2026-06-24,1415,6,HOLLANDE,PS,G,9.0
Ifop,2026-06-24,1415,6,PHILIPPE,HOR,CD,21.0
Ifop,2026-06-24,1415,6,RETAILLEAU,LR,CD,10.0
Ifop,2026-06-24,1415,6,DUPONT-AIGNAN,DLF,ED,3.0
Ifop,2026-06-24,1415,6,BARDELLA,RN,ED,37.0
Ifop,2026-06-24,1415,6,ZEMMOUR,REC,ED,3.5
Ifop,2026-06-24,1415,7,ARTHAUD,LO,G,1.5
Ifop,2026-06-24,1415,7,MÉLENCHON,LFI,G,14.0
Ifop,2026-06-24,1415,7,GLUCKSMANN,PCF,G,11.0
Ifop,2026-06-24,1415,7,PHILIPPE,HOR,CD,20.0
Ifop,2026-06-24,1415,7,RETAILLEAU,LR,CD,11.0
Ifop,2026-06-24,1415,7,DUPONT-AIGNAN,DLF,ED,2.5
Ifop,2026-06-24,1415,7,BARDELLA,RN,ED,36.0
Ifop,2026-06-24,1415,7,ZEMMOUR,REC,ED,4.0
Ifop,2026-06-24,1415,8,ARTHAUD,LO,G,1.0
Ifop,2026-06-24,1415,8,MÉLENCHON,LFI,G,13.0
Ifop,2026-06-24,1415,8,ROUSSEL,PCF,G,2.5
Ifop,2026-06-24,1415,8,TONDELIER,LE,G,3.5
Ifop,2026-06-24,1415,8,GLUCKSMANN,PP,G,8.0
Ifop,2026-06-24,1415,8,PHILIPPE,HOR,CD,19.0
Ifop,2026-06-24,1415,8,RETAILLEAU,LR,CD,9.0
Ifop,2026-06-24,1415,8,DUPONT-AIGNAN,DLF,ED,2.5
Ifop,2026-06-24,1415,8,BARDELLA,RN,ED,35.0
Ifop,2026-06-24,1415,8,ZEMMOUR,REC,ED,4.5
OpinionWay,2026-06-11,1001,9,ARTHAUD,LO,G,1.0
OpinionWay,2026-06-11,1001,9,MÉLENCHON,LFI,G,16.0
OpinionWay,2026-06-11,1001,9,GLUCKSMANN,PP,G,16.0
OpinionWay,2026-06-11,1001,9,PHILIPPE,HOR,CD,19.0
OpinionWay,2026-06-11,1001,9,RETAILLEAU,LR,CD,9.0
OpinionWay,2026-06-11,1001,9,DUPONT-AIGNAN,DLF,ED,2.0
OpinionWay,2026-06-11,1001,9,BARDELLA / LE PEN,RN,ED,34.0
OpinionWay,2026-06-11,1001,9,ZEMMOUR,REC,ED,3.0
OpinionWay,2026-06-11,1001,10,ARTHAUD,LO,G,1.0
OpinionWay,2026-06-11,1001,10,MÉLENCHON,LFI,G,13.0
OpinionWay,2026-06-11,1001,10,ROUSSEL,PCF,G,3.0
OpinionWay,2026-06-11,1001,10,TONDELIER,LE,G,5.0
OpinionWay,2026-06-11,1001,10,GLUCKSMANN,PP,G,13.0
OpinionWay,2026-06-11,1001,10,PHILIPPE,HOR,CD,19.0
OpinionWay,2026-06-11,1001,10,RETAILLEAU,LR,CD,8.0
OpinionWay,2026-06-11,1001,10,DUPONT-AIGNAN,DLF,ED,2.0
OpinionWay,2026-06-11,1001,10,BARDELLA / LE PEN,RN,ED,33.0
OpinionWay,2026-06-11,1001,10,ZEMMOUR,REC,ED,3.0
OpinionWay,2026-06-11,1001,11,ARTHAUD,LO,G,1.0
OpinionWay,2026-06-11,1001,11,MÉLENCHON,LFI,G,13.0
OpinionWay,2026-06-11,1001,11,ROUSSEL,PCF,G,4.0
OpinionWay,2026-06-11,1001,11,TONDELIER,LE,G,4.0
OpinionWay,2026-06-11,1001,11,GLUCKSMANN,PP,G,14.0
OpinionWay,2026-06-11,1001,11,ATTAL,RE,CD,14.0
OpinionWay,2026-06-11,1001,11,RETAILLEAU,LR,CD,9.0
OpinionWay,2026-06-11,1001,11,DUPONT-AIGNAN,DLF,ED,2.0
OpinionWay,2026-06-11,1001,11,BARDELLA / LE PEN,RN,ED,35.0
OpinionWay,2026-06-11,1001,11,ZEMMOUR,REC,ED,4.0
Ifop,2026-05-28,1,20,ARTHAUD,LO,G,0.5
Ifop,2026-05-28,1,20,MÉLENCHON,LFI,G,13.0
Ifop,2026-05-28,1,20,ROUSSEL,PCF,G,2.5
Ifop,2026-05-28,1,20,TONDELIER,LE,G,4.0
Ifop,2026-05-28,1,20,GLUCKSMANN,PP,G,9.0
Ifop,2026-05-28,1,20,ATTAL,RE,CD,9.0
Ifop,2026-05-28,1,20,PHILIPPE,HOR,CD,14.0
Ifop,2026-05-28,1,20,RETAILLEAU,LR,CD,8.0
Ifop,2026-05-28,1,20,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-05-28,1,20,BARDELLA,RN,ED,34.0
Ifop,2026-05-28,1,20,ZEMMOUR,REC,ED,4.0
Ifop,2026-05-28,1,21,ARTHAUD,LO,G,0.5
Ifop,2026-05-28,1,21,MÉLENCHON,LFI,G,13.0
Ifop,2026-05-28,1,21,ROUSSEL,PCF,G,3.5
Ifop,2026-05-28,1,21,TONDELIER,LE,G,4.0
Ifop,2026-05-28,1,21,GLUCKSMANN,PP,G,10.0
Ifop,2026-05-28,1,21,PHILIPPE,HOR,CD,18.0
Ifop,2026-05-28,1,21,VILLEPIN,LFH,CD,2.5
Ifop,2026-05-28,1,21,RETAILLEAU,LR,CD,9.0
Ifop,2026-05-28,1,21,DUPONT-AIGNAN,DLF,ED,2.0
Ifop,2026-05-28,1,21,BARDELLA,RN,ED,34.0
Ifop,2026-05-28,1,21,ZEMMOUR,REC,ED,3.5
Ifop,2026-05-28,1,22,ARTHAUD,LO,G,0.5
Ifop,2026-05-28,1,22,MÉLENCHON,LFI,G,13.0
Ifop,2026-05-28,1,22,ROUSSEL,PCF,G,3.0
Ifop,2026-05-28,1,22,TONDELIER,LE,G,4.0
Ifop,2026-05-28,1,22,GLUCKSMANN,PP,G,11.0
Ifop,2026-05-28,1,22,ATTAL,RE,CD,16.0
Ifop,2026-05-28,1,22,VILLEPIN,LFH,CD,3.0
Ifop,2026-05-28,1,22,RETAILLEAU,LR,CD,10.0
Ifop,2026-05-28,1,22,DUPONT-AIGNAN,DLF,ED,2.5
Ifop,2026-05-28,1,22,BARDELLA,RN,ED,34.0
Ifop,2026-05-28,1,22,ZEMMOUR,REC,ED,3.0
Ifop,2026-05-28,1,23,ARTHAUD,LO,G,0.5
Ifop,2026-05-28,1,23,MÉLENCHON,LFI,G,13.0
Ifop,2026-05-28,1,23,ROUSSEL,PCF,G,3.0
Ifop,2026-05-28,1,23,TONDELIER,LE,G,4.0
Ifop,2026-05-28,1,23,GLUCKSMANN,PP,G,11.0
Ifop,2026-05-28,1,23,PHILIPPE,HOR,CD,19.0
Ifop,2026-05-28,1,23,VILLEPIN,LFH,CD,2.0
Ifop,2026-05-28,1,23,RETAILLEAU,LR,CD,9.0
