rang,commune,dept,mobilisables,conjoncturels,abstentionnistes,inscrits,bureaux,pred_G,pred_CD,pred_ED,pred_AB,gamma_pct,mobilisables_pct_inscrits
78,Nevers,58,407,877,8869,21638,26,35.1,32.4,30.3,42.6,46.4,1.9
79,Orange,84,406,1164,7226,18958,22,21.1,27.1,49.4,38.2,34.9,2.1
80,Bergerac,24,405,842,7586,20307,22,36.1,27.5,34.8,37.4,48.1,2.0
81,Châteauroux,36,403,938,11701,29500,32,32.3,36.8,30.4,41.0,43.0,1.4
82,Bondy,93,402,792,11161,26114,32,56.2,18.4,21.1,42.5,50.7,1.5
83,Grasse,06,398,979,13376,34474,35,26.0,32.4,38.5,39.0,40.7,1.2
84,Villeurbanne,69,392,783,32830,92008,80,52.6,22.3,20.2,35.8,50.0,0.4
85,Saint-Brieuc,22,390,772,9915,27671,33,45.6,28.9,23.3,35.7,50.5,1.4
86,Sète,34,385,836,12100,33582,33,36.7,23.1,38.2,36.0,46.0,1.1
87,Maubeuge,59,383,809,8570,18078,24,39.8,20.0,39.9,47.5,47.3,2.1
88,La Rochelle,17,381,717,19668,55998,60,57.9,17.2,20.4,35.8,53.1,0.7
89,Gonesse,95,381,755,6703,14898,16,47.8,19.1,29.0,44.8,50.4,2.6
90,Lyon,69,378,761,75912,295390,305,44.7,34.2,18.0,26.0,49.7,0.1
91,Porto-Vecchio,2A,375,1011,4993,9963,12,25.4,19.7,40.9,50.2,37.1,3.8
92,La Courneuve,93,375,659,8148,16860,16,67.8,5.3,18.8,48.4,56.9,2.2
93,Stains,93,372,613,9117,17722,15,70.4,3.3,20.3,51.1,60.6,2.1
94,Corbeil-Essonnes,91,368,735,10184,23110,26,51.0,18.0,26.0,44.0,50.1,1.6
95,Rosny-Sous-Bois,93,362,728,9862,24449,27,49.2,22.3,23.6,40.4,49.7,1.5
96,Agen,47,359,756,6539,18088,23,36.6,30.1,30.8,36.3,47.5,2.0
97,Châtellerault,86,359,812,9077,22171,24,31.7,32.5,34.7,40.9,44.2,1.6
98,Livry-Gargan,93,359,731,8590,22558,26,40.4,25.2,30.6,38.1,49.1,1.6
99,Noisy-Le-Sec,93,357,642,8579,20409,20,64.4,11.0,19.7,42.1,55.6,1.7
100,Bezons,95,355,709,6697,16478,17,53.8,18.3,22.2,40.7,50.1,2.2
